euring_code,scientific_name,year,index_pct,lower_cl,upper_cl,index_se,observation_records,occupied_cells,centroid_latitude,centroid_longitude,median_latitude,north_edge_latitude,annual_mean_temp_c,annual_precip_mm,breeding_mean_temp_c,breeding_precip_mm,temperature_anomaly_c,breeding_temperature_anomaly_c,polish_name,trend_long_pct,trend_10y_pct,long_term_start_year,long_term_slope,long_term_se,long_term_classification,ten_year_start_year,ten_year_slope,ten_year_slope_se,ten_year_classification,habitat,graph_note,population_change_pct,occupied_cells_change_pct
1340,Ciconia ciconia,1980,100.0,100.0,100.0,0.0,319,117,48.60683760683761,10.709401709401709,48.0,61.0,10.66485345255837,662.9454545454545,14.963189269746646,211.9,-1.4812585636286535,-1.785238450074516,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,,
1340,Ciconia ciconia,1981,101.5065789,12.114220348,190.898937452,45.6083462,301,110,49.36363636363637,10.727272727272728,50.5,62.55,11.335591531755917,665.290909090909,15.70715350223547,215.5090909090909,-0.8105204844311071,-1.041274217585693,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,1.5065788999999885,-5.982905982905984
1340,Ciconia ciconia,1982,125.3447368,-5.34595325999997,256.03542686,66.6789235,249,100,48.25,9.94,47.5,59.05,11.598879202988792,573.4636363636363,15.895603576751116,186.5818181818182,-0.5472328131982316,-0.8528241430700465,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,23.48434767315364,-9.090909090909092
1340,Ciconia ciconia,1983,133.6092105,-10.545975528,277.764396528,73.5485643,305,120,47.38333333333333,11.691666666666666,46.5,59.0,11.776413449564131,577.1818181818181,16.378092399403872,198.8090909090909,-0.3696985666228904,-0.3703353204172899,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,6.593395072652131,20.0
1340,Ciconia ciconia,1984,127.0618421,-10.419723072,264.543407272,70.1436557,281,124,46.13709677419355,8.814516129032258,46.0,58.0,11.263263785394932,660.4727272727273,15.356706408345753,212.85454545454547,-0.8828482307920904,-1.3917213114754097,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,-4.9003870133638605,3.333333333333344
1340,Ciconia ciconia,1985,110.5092105,-9.346178748,230.364599748,61.1507088,292,124,46.193548387096776,12.064516129032258,45.5,57.0,10.68906600249066,617.1636363636363,15.86311475409836,206.41818181818184,-1.4570460136963632,-0.885312965722802,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,-13.02722463835585,0.0
1340,Ciconia ciconia,1986,113.8486842,-9.74471493199999,237.442083332,63.0578567,321,145,45.72413793103448,13.63448275862069,46.0,57.0,11.11247820672478,620.9636363636364,16.150298062593144,199.0090909090909,-1.033633809462243,-0.5981296572280179,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,3.021896260855117,16.93548387096775
1340,Ciconia ciconia,1987,116.8710526,-10.594485684,244.336590884,65.0334379,342,130,46.20769230769231,14.4,46.0,56.55,10.80505603985056,652.5727272727273,15.595007451564827,212.45454545454547,-1.3410559763364631,-1.1534202682563333,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,2.65472404994207,-10.344827586206897
1340,Ciconia ciconia,1988,108.9,-9.61864866800001,227.418648668,60.4686983,601,165,46.47878787878788,13.587878787878788,47.0,58.0,11.625260804769,626.1545454545454,16.24552906110283,205.0090909090909,-0.520851211418023,-0.5028986587183333,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,-6.820382312531681,26.92307692307692
1340,Ciconia ciconia,1989,126.8671053,-11.121672396,264.855882996,70.4024376,617,174,46.89655172413793,12.994252873563218,47.0,59.0,12.270236612702366,590.6727272727272,16.376900149031297,198.03636363636363,0.1241245965153421,-0.3715275707898655,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,16.498719283746553,5.454545454545445
1340,Ciconia ciconia,1990,135.9394737,-11.948271452,283.827218852,75.4529312,805,183,48.4207650273224,12.01639344262295,49.0,60.900000000000006,12.236488169364884,562.2181818181817,16.293591654247393,181.62727272727275,0.0903761531778588,-0.4548360655737689,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,7.15108016262116,5.172413793103448
1340,Ciconia ciconia,1991,124.2118421,-10.969053316,259.392737516,68.9698446,831,184,46.56521739130435,13.190217391304348,46.5,57.0,11.25247820672478,600.8363636363637,15.299925484351716,220.2636363636364,-0.8936338094622425,-1.448502235469446,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,-8.627097987653908,0.5464480874316946
1340,Ciconia ciconia,1992,128.4210526,-11.171592312,268.013697512,71.2207372,929,181,46.85635359116022,11.226519337016574,47.0,58.0,11.737406855439644,533.9181818181819,16.145901639344263,184.98181818181817,-0.408705160747381,-0.602526080476899,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,3.388735267778453,-1.6304347826086918
1340,Ciconia ciconia,1993,148.9368421,-12.790495588,310.664179788,82.5139478,940,216,47.05092592592592,12.50462962962963,47.0,59.0,11.254371108343712,595.4818181818182,16.11028315946349,203.25454545454548,-0.8917409078433121,-0.6381445603576736,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,15.975409860485756,19.33701657458564
1340,Ciconia ciconia,1994,157.8657895,-14.158820572,329.890399572,87.7676582,1039,189,47.17989417989418,10.788359788359788,47.0,59.0,12.192229140722292,574.3727272727273,16.518032786885247,190.15454545454543,0.046117124535268,-0.2303949329359156,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,5.995123351685461,-12.5
1340,Ciconia ciconia,1995,147.1605263,-15.436058844,309.757111444,82.9574414,1207,235,47.791489361702126,11.08936170212766,48.0,58.29999999999998,11.945130759651308,598.3272727272728,16.494485842026823,176.71818181818182,-0.2009812565357158,-0.2539418777943396,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,-6.781243253466274,24.33862433862435
1340,Ciconia ciconia,1996,169.3802632,-16.353882628,355.114409028,94.7623193,1420,243,47.20987654320987,10.08641975308642,48.0,58.0,11.0123695976155,702.5545454545454,16.025409836065577,209.62727272727275,-1.133742418571524,-0.7230178837555847,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,15.09897895764729,3.404255319148941
1340,Ciconia ciconia,1997,160.0263158,-15.708953728,335.761585328,89.6608518,1665,213,47.394366197183096,11.450704225352112,48.0,59.0,11.854869240348693,669.3727272727273,15.917660208643817,249.3090909090909,-0.2912427758383309,-0.8307675111773474,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,-5.52245416513204,-12.34567901234568
1340,Ciconia ciconia,1998,175.5171053,-16.381210344,367.415420944,97.9073039,1984,251,48.01593625498008,10.95219123505976,49.0,58.0,11.80002490660025,641.6636363636363,16.356110283159463,224.97272727272727,-0.3460871095867741,-0.392317436661699,Bocian biały,81.45,-5.78430863492393,1980,1.016654726,0.003877079,Moderate increase (p<0.01),2015,1.006895484,0.004631005,Stable,farmland,,9.680151306714023,17.84037558685445
